domain,suite,problem,planner,success,runtime_ms,plan_length,exit_code,timeout_killed
blocks,strips-typed,p001.pddl,ASP,true,39,6,0,false
blocks,strips-typed,p001.pddl,MCTS,true,146,6,0,false
blocks,strips-typed,p002.pddl,ASP,true,16,10,0,false
blocks,strips-typed,p002.pddl,MCTS,true,213,10,0,false
blocks,strips-typed,p003.pddl,ASP,true,16,6,0,false
blocks,strips-typed,p003.pddl,MCTS,true,124,8,0,false
blocks,strips-typed,p004.pddl,ASP,true,13,12,0,false
blocks,strips-typed,p004.pddl,MCTS,true,518,28,0,false
blocks,strips-typed,p005.pddl,ASP,true,16,10,0,false
blocks,strips-typed,p005.pddl,MCTS,true,491,24,0,false
blocks,strips-typed,p006.pddl,ASP,true,25,16,0,false
blocks,strips-typed,p006.pddl,MCTS,false,606,0,0,false
blocks,strips-typed,p007.pddl,ASP,true,10,12,0,false
blocks,strips-typed,p007.pddl,MCTS,false,602,0,0,false
blocks,strips-typed,p008.pddl,ASP,true,20,10,0,false
blocks,strips-typed,p008.pddl,MCTS,false,613,0,0,false
blocks,strips-typed,p009.pddl,ASP,true,91,20,0,false
blocks,strips-typed,p009.pddl,MCTS,false,607,0,0,false
blocks,strips-typed,p010.pddl,ASP,true,97,20,0,false
blocks,strips-typed,p010.pddl,MCTS,false,610,0,0,false
blocks,strips-untyped,p001.pddl,ASP,true,15,6,0,false
blocks,strips-untyped,p001.pddl,MCTS,true,156,6,0,false
blocks,strips-untyped,p002.pddl,ASP,true,12,10,0,false
blocks,strips-untyped,p002.pddl,MCTS,true,251,10,0,false
blocks,strips-untyped,p003.pddl,ASP,true,10,6,0,false
blocks,strips-untyped,p003.pddl,MCTS,true,325,8,0,false
blocks,strips-untyped,p004.pddl,ASP,true,14,12,0,false
blocks,strips-untyped,p004.pddl,MCTS,false,609,0,0,false
blocks,strips-untyped,p005.pddl,ASP,true,15,10,0,false
blocks,strips-untyped,p005.pddl,MCTS,true,561,24,0,false
blocks,strips-untyped,p006.pddl,ASP,true,19,16,0,false
blocks,strips-untyped,p006.pddl,MCTS,false,607,0,0,false
blocks,strips-untyped,p007.pddl,ASP,true,15,12,0,false
blocks,strips-untyped,p007.pddl,MCTS,false,614,0,0,false
blocks,strips-untyped,p008.pddl,ASP,true,19,10,0,false
blocks,strips-untyped,p008.pddl,MCTS,false,616,0,0,false
blocks,strips-untyped,p009.pddl,ASP,true,117,20,0,false
blocks,strips-untyped,p009.pddl,MCTS,false,617,0,0,false
blocks,strips-untyped,p010.pddl,ASP,true,105,20,0,false
blocks,strips-untyped,p010.pddl,MCTS,false,604,0,0,false
gripper,adl,p01.pddl,ASP,true,17,11,0,false
gripper,adl,p01.pddl,MCTS,true,335,22,0,false
gripper,adl,p02.pddl,ASP,true,47,17,0,false
gripper,adl,p02.pddl,MCTS,false,609,0,0,false
gripper,adl,p03.pddl,ASP,true,224,23,0,false
gripper,adl,p03.pddl,MCTS,false,602,0,0,false
gripper,adl,p04.pddl,ASP,true,1054,29,0,false
gripper,adl,p04.pddl,MCTS,false,614,0,0,false
gripper,adl,p05.pddl,ASP,true,4518,35,0,false
gripper,adl,p05.pddl,MCTS,false,619,0,0,false
